epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
71,8078.13,1.25414,0.42685,0.00351,0.7745,0.45424,0.53684,0.34832,1.62113,1.08918,0.00769,0.000218918,0.000218918,0.000218918
72,8186.8,1.26837,0.42434,0.00345,0.69388,0.47703,0.54234,0.34329,1.64094,1.10993,0.00777,0.000216831,0.000216831,0.000216831
73,8295.52,1.26958,0.42915,0.00355,0.70531,0.481,0.54424,0.34585,1.63049,1.12377,0.00775,0.000214728,0.000214728,0.000214728
74,8404.82,1.26459,0.41912,0.00345,0.68617,0.46578,0.54025,0.34995,1.66332,1.1167,0.00807,0.00021261,0.00021261,0.00021261
75,8513.47,1.25724,0.4187,0.00333,0.78721,0.45894,0.54535,0.35046,1.63403,1.12428,0.00767,0.000210476,0.000210476,0.000210476
76,8622.15,1.25604,0.41566,0.00344,0.71499,0.46616,0.55557,0.36947,1.61536,1.07315,0.00746,0.000208328,0.000208328,0.000208328
77,8731.57,1.23443,0.40637,0.00333,0.68922,0.51838,0.56637,0.36849,1.62115,1.10802,0.00761,0.000206166,0.000206166,0.000206166
78,8840.3,1.25288,0.41646,0.00328,0.78078,0.52043,0.56792,0.3698,1.64427,1.12272,0.00792,0.000203991,0.000203991,0.000203991
79,8949.13,1.24714,0.40593,0.0034,0.77457,0.53073,0.56976,0.37746,1.63657,1.12766,0.00785,0.000201803,0.000201803,0.000201803
80,9058.48,1.23297,0.40511,0.00331,0.76994,0.53279,0.56685,0.36984,1.63837,1.11191,0.00789,0.000199602,0.000199602,0.000199602
81,9167.21,1.23561,0.39064,0.00333,0.77928,0.53221,0.56672,0.37132,1.64188,1.10316,0.00787,0.000197389,0.000197389,0.000197389
82,9275.92,1.22588,0.39276,0.00333,0.7817,0.47189,0.55783,0.35687,1.64002,1.11505,0.00769,0.000195165,0.000195165,0.000195165
83,9389.1,1.22804,0.39618,0.00331,0.7953,0.51661,0.57753,0.37172,1.64549,1.09536,0.00781,0.00019293,0.00019293,0.00019293
84,9497.78,1.21814,0.39345,0.00328,0.79717,0.50884,0.56922,0.36317,1.65654,1.09726,0.00779,0.000190685,0.000190685,0.000190685
85,9606.43,1.21949,0.39065,0.00318,0.79887,0.47604,0.55569,0.35928,1.64864,1.09885,0.00791,0.00018843,0.00018843,0.00018843
86,9715.72,1.21918,0.38456,0.00318,0.77228,0.46967,0.54563,0.34972,1.65806,1.11503,0.00783,0.000186167,0.000186167,0.000186167
87,9824.45,1.21837,0.37636,0.00316,0.77867,0.47211,0.53759,0.35215,1.64323,1.13723,0.00759,0.000183894,0.000183894,0.000183894
88,9933.11,1.20037,0.38329,0.00312,0.76737,0.48415,0.51234,0.33286,1.64632,1.13654,0.00777,0.000181614,0.000181614,0.000181614
89,10042.5,1.1978,0.37737,0.00314,0.78117,0.47819,0.54159,0.34927,1.65548,1.12287,0.00791,0.000179326,0.000179326,0.000179326
90,10151.2,1.22076,0.37567,0.00309,0.7658,0.48736,0.53885,0.3441,1.66132,1.11202,0.00796,0.000177031,0.000177031,0.000177031
91,10259.9,1.18886,0.37448,0.00313,0.81405,0.4674,0.54876,0.35048,1.66771,1.1033,0.00781,0.000174731,0.000174731,0.000174731
92,10369.1,1.19916,0.37304,0.00306,0.65498,0.52091,0.55596,0.35426,1.66165,1.10558,0.0078,0.000172424,0.000172424,0.000172424
93,10477.7,1.18794,0.36606,0.00314,0.77973,0.46107,0.54487,0.34716,1.67503,1.11877,0.00785,0.000170112,0.000170112,0.000170112
94,10586.4,1.19348,0.36939,0.00309,0.81425,0.45122,0.53855,0.35232,1.66921,1.12264,0.0078,0.000167796,0.000167796,0.000167796
95,10695.9,1.20014,0.37842,0.00306,0.80783,0.46151,0.54179,0.35299,1.66755,1.12217,0.0078,0.000165475,0.000165475,0.000165475
96,10804.8,1.18185,0.36453,0.00306,0.76235,0.51099,0.55491,0.36639,1.65778,1.11736,0.00773,0.000163151,0.000163151,0.000163151
97,10913.6,1.16389,0.35815,0.00303,0.67504,0.51489,0.55838,0.36638,1.67107,1.12292,0.00789,0.000160824,0.000160824,0.000160824
98,11023.3,1.18049,0.36508,0.00304,0.70881,0.50835,0.56407,0.36922,1.65904,1.14587,0.00785,0.000158495,0.000158495,0.000158495
99,11132,1.17154,0.36338,0.00297,0.70771,0.50074,0.56215,0.37055,1.65632,1.12837,0.00784,0.000156164,0.000156164,0.000156164
100,11240.7,1.15827,0.35284,0.003,0.68712,0.50897,0.56,0.37148,1.65017,1.14426,0.00783,0.000153833,0.000153833,0.000153833
101,11349.9,1.15679,0.3449,0.00293,0.69419,0.4707,0.53871,0.35985,1.65377,1.14605,0.00787,0.0001515,0.0001515,0.0001515
102,11459,1.16444,0.35464,0.00293,0.7213,0.46016,0.53299,0.35303,1.65885,1.13076,0.00792,0.000149167,0.000149167,0.000149167
103,11567.6,1.15836,0.34063,0.00289,0.7136,0.46606,0.54149,0.355,1.66408,1.14053,0.00794,0.000146836,0.000146836,0.000146836
104,11676.8,1.14695,0.34143,0.00287,0.68724,0.47446,0.54509,0.35604,1.6691,1.1488,0.00788,0.000144505,0.000144505,0.000144505
105,11785.5,1.14676,0.34107,0.00291,0.80806,0.49928,0.5579,0.36802,1.67414,1.15502,0.00791,0.000142176,0.000142176,0.000142176
106,11894.1,1.14557,0.3417,0.00283,0.77714,0.50816,0.55655,0.36678,1.66643,1.17243,0.00785,0.000139849,0.000139849,0.000139849
107,12003.3,1.14401,0.33761,0.00283,0.76924,0.52445,0.55725,0.36714,1.66886,1.16851,0.00784,0.000137525,0.000137525,0.000137525
108,12111.9,1.13788,0.32887,0.00281,0.75855,0.52992,0.55728,0.36588,1.66538,1.16612,0.00781,0.000135204,0.000135204,0.000135204
109,12220.5,1.13619,0.32952,0.00283,0.76753,0.52733,0.55816,0.36825,1.65476,1.16975,0.00779,0.000132888,0.000132888,0.000132888
110,12329.7,1.13942,0.32762,0.00284,0.77182,0.52761,0.55948,0.36856,1.65466,1.15586,0.00775,0.000130576,0.000130576,0.000130576
111,12438.3,1.12815,0.33686,0.0028,0.75884,0.52633,0.55723,0.36698,1.65868,1.16167,0.00778,0.000128269,0.000128269,0.000128269
